"node"	"ord_ndname"	"node_lvl"	"node.type"	"parent_br"	"edge.length"	"ancestor"	"node_ht"	"time_bp"	"fossils"	"label"	"tipnames"	"K"	"O"	"M"	"H"
20	20	0	"root"	NA	NA	NA	0	5.2	NA	"inNode20"	"P_fauriei2,P_grandiflora_Kal2,P_greenwelliae07,P_greenwelliae907,P_hathewayi_1,P_hawaiiensis_Makaopuhi,P_hawaiiensis_WaikamoiL1,P_hexandra_K1,P_hexandra_M,P_hexandra_Oahu,P_hobdyi_Kuia,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu,P_mauiensis_Eke,P_mauiensis_PepeAS,P_wawraeDL7428"	NA	NA	NA	NA
21	21	1	"internal"	1	0.2873119899	20	0.2873119899	4.912688	NA	"inNode21"	"P_fauriei2,P_grandiflora_Kal2,P_greenwelliae07,P_greenwelliae907,P_hathewayi_1,P_hawaiiensis_Makaopuhi,P_hawaiiensis_WaikamoiL1,P_hobdyi_Kuia,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu,P_mauiensis_Eke,P_mauiensis_PepeAS,P_wawraeDL7428"	0.98409008213638	0.0656831092203186	0.029248785243929	0.00474057075295214
22	22	2	"internal"	2	0.7345185743	21	1.0218305642	4.1781694	NA	"inNode22"	"P_fauriei2,P_greenwelliae07,P_greenwelliae907,P_hathewayi_1,P_hawaiiensis_Makaopuhi,P_hawaiiensis_WaikamoiL1,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu,P_mauiensis_Eke,P_mauiensis_PepeAS,P_wawraeDL7428"	0.956349806649165	0.0773720382203082	0.0347343586875211	0.00532978311680478
23	23	3	"internal"	3	1.689170274	22	2.7110008382	2.4889992	NA	"inNode23"	"P_fauriei2,P_greenwelliae07,P_greenwelliae907,P_hathewayi_1,P_hawaiiensis_WaikamoiL1,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mauiensis_Eke,P_mauiensis_PepeAS"	0.845575258105067	0.130297524598792	0.0634080225630698	5.34412215564157e-14
24	24	4	"internal"	4	0.302349378	23	3.0133502162	2.1866498	NA	"inNode24"	"P_fauriei2,P_hathewayi_1,P_hawaiiensis_WaikamoiL1,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mauiensis_Eke,P_mauiensis_PepeAS"	2.99821806051629e-14	0.661071190843054	0.343672269927359	4.80369085115753e-15
25	25	5	"internal"	5	0.3347375986	24	3.3480878148	1.8519122	NA	"inNode25"	"P_fauriei2,P_hathewayi_1,P_hawaiiensis_WaikamoiL1,P_kaduana_PuuKukuiAS,P_mauiensis_Eke,P_mauiensis_PepeAS"	4.65110715033871e-15	0.311819919993398	0.690232807242082	1.02738154069116e-15
26	26	6	"internal"	6	0.1767115552	25	3.52479937	1.6752006	NA	"inNode26"	"P_fauriei2,P_hathewayi_1,P_hawaiiensis_WaikamoiL1,P_mauiensis_Eke"	1.2367865810456e-15	0.384882008478861	0.616534579631343	3.2273048577228e-16
27	27	7	"internal"	7	0.7086257935	26	4.2334251635	0.9665748	NA	"inNode27"	"P_hawaiiensis_WaikamoiL1,P_mauiensis_Eke"	4.64299688585969e-16	1.72749016408448e-15	1	1.36663240809201e-16
28	28	7	"internal"	10	0.4440923324	26	3.9688917024	1.2311083	NA	"inNode28"	"P_fauriei2,P_hathewayi_1"	4.21149637634154e-16	1	1.55098968867511e-15	1.0993824813774e-16
29	29	6	"internal"	13	0.0008897862802	25	3.3489776010802	1.8510224	NA	"inNode29"	"P_kaduana_PuuKukuiAS,P_mauiensis_PepeAS"	1.04927287452243e-15	1.24693363613995e-15	1	2.46927064468139e-16
30	30	4	"internal"	17	1.35674612	23	4.0677469582	1.132253	NA	"inNode30"	"P_greenwelliae07,P_greenwelliae907"	1	4.67992000381613e-14	2.56078511972694e-14	1.13121140862377e-14
31	31	3	"internal"	20	0.732916959	22	1.7547475232	3.4452525	NA	"inNode31"	"P_hawaiiensis_Makaopuhi,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu,P_wawraeDL7428"	0.969943770457783	0.0283363606823861	0.0107845857173985	0.00862900217938412
32	32	4	"internal"	21	0.4601084855	31	2.2148560087	2.985144	NA	"inNode32"	"P_hawaiiensis_Makaopuhi,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu"	0.863741398998066	0.0789490218702567	0.0360909162541289	0.0339353326991792
33	33	5	"internal"	22	0.2574151709	32	2.4722711796	2.7277288	NA	"inNode33"	"P_hawaiiensis_Makaopuhi,P_mariniana_MauiNui,P_mariniana_Oahu"	1.07207741879385e-14	0.505062758060452	0.249147784381717	0.246992200842533
34	34	6	"internal"	23	0.7328279804	33	3.20509916	1.9949008	NA	"inNode34"	"P_hawaiiensis_Makaopuhi,P_mariniana_MauiNui"	2.19901291320699e-15	1.43540321834757e-15	0.501187574266425	0.499031990726104
35	35	2	"internal"	29	2.432497733	21	2.7198097229	2.4801903	NA	"inNode35"	"P_grandiflora_Kal2,P_hobdyi_Kuia"	1	2.52767121970823e-13	2.03041079323359e-13	1.98265577928474e-13
36	36	1	"internal"	32	2.372081244	20	2.372081244	2.8279188	NA	"inNode36"	"P_hexandra_K1,P_hexandra_M,P_hexandra_Oahu"	0.739125745554262	0.521009320920862	1.22697712842728e-12	1.22527516577116e-12
37	37	2	"internal"	33	0.4630447802	36	2.8351260242	2.364874	NA	"inNode37"	"P_hexandra_K1,P_hexandra_M"	1	4.45765026725808e-13	1.77900290333445e-13	1.77724448147093e-13
