"node"	"ord_ndname"	"node_lvl"	"node.type"	"parent_br"	"edge.length"	"ancestor"	"node_ht"	"time_bp"	"fossils"	"label"	"tipnames"	"_"	"K"	"O"	"M"	"H"	"KO"	"KM"	"KH"	"OM"	"OH"	"MH"	"KOM"	"KOH"	"KMH"	"OMH"	"KOMH"
22	22	2	"internal"	2	0.7345185743	21	1.0218305642	4.1781694	NA	"inNode22"	"P_fauriei2,P_greenwelliae07,P_greenwelliae907,P_hathewayi_1,P_hawaiiensis_Makaopuhi,P_hawaiiensis_WaikamoiL1,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu,P_mauiensis_Eke,P_mauiensis_PepeAS,P_wawraeDL7428"	0	0.671706987999184	0.00224829617421656	0.000570605581679132	1.06056110314939e-05	0.134222101062244	0.0609112046608172	0.0154570044673683	0.00183823190877356	0.000651701180565835	0.000187917730324869	0.053624904229984	0.0176604234934245	0.00761396146382325	0.0015813810623553	0.0317146733742083
23	23	3	"internal"	3	1.689170274	22	2.7110008382	2.4889992	NA	"inNode23"	"P_fauriei2,P_greenwelliae07,P_greenwelliae907,P_hathewayi_1,P_hawaiiensis_WaikamoiL1,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mauiensis_Eke,P_mauiensis_PepeAS"	0	0.011123097652512	0.0045190285533018	0.000538514105017309	1.03824764033884e-06	0.480488077593636	0.0699392913922995	0.000144694058524528	0.00224334975879625	9.71889422553717e-05	1.33111459009746e-05	0.425601219327744	0.00255117015441173	0.000490208123727532	0.000126491430498489	0.00212331951373451
24	24	4	"internal"	4	0.302349378	23	3.0133502162	2.1866498	NA	"inNode24"	"P_fauriei2,P_hathewayi_1,P_hawaiiensis_WaikamoiL1,P_kaduana_HawaiiLoa,P_kaduana_PuuKukuiAS,P_mauiensis_Eke,P_mauiensis_PepeAS"	0	0.000115908176020957	0.416227767650188	0.00460264116800904	1.37170247967653e-06	0.0132563999687082	0.00163752703375624	9.83988552224622e-07	0.549466766593762	0.000653773771895233	7.97401241517162e-05	0.0120629927656138	2.69713412752556e-05	9.30246609437908e-06	0.0017995756814235	5.82775680704562e-05
25	25	5	"internal"	5	0.3347375986	24	3.3480878148	1.8519122	NA	"inNode25"	"P_fauriei2,P_hathewayi_1,P_hawaiiensis_WaikamoiL1,P_kaduana_PuuKukuiAS,P_mauiensis_Eke,P_mauiensis_PepeAS"	0	2.72458378152103e-09	6.26614877028201e-06	0.0326375690177978	1.05298932829508e-10	4.8728625986715e-07	0.000505145066556075	4.69127689098871e-11	0.955179901210603	4.18962603128316e-08	5.95258935317515e-05	0.0101492231875663	5.56973552915575e-09	1.5238712381286e-06	0.00142908274123307	3.12252336524847e-05
26	26	6	"internal"	6	0.1767115552	25	3.52479937	1.6752006	NA	"inNode26"	"P_fauriei2,P_hathewayi_1,P_hawaiiensis_WaikamoiL1,P_mauiensis_Eke"	0	4.79617301697711e-07	0.00261928862533845	0.00664806482785162	5.7276860204697e-08	0.000164224178725902	0.000192011350913094	1.2135749328974e-08	0.979982597228252	2.5725667593153e-05	2.94029215074156e-05	0.00880742845297925	1.02134778714385e-06	7.70712450489918e-07	0.00150438951159234	2.45261450975671e-05
27	27	7	"internal"	7	0.7086257935	26	4.2334251635	0.9665748	NA	"inNode27"	"P_hawaiiensis_WaikamoiL1,P_mauiensis_Eke"	0	7.07207203623192e-08	1.17284315159691e-06	0.988202299660342	1.15467679008733e-08	3.45981555988387e-08	0.00174952532787297	2.19680758232852e-09	0.00952022628884268	1.43392458864284e-08	0.000482039544975289	3.01861889715205e-05	2.58217486453021e-10	3.54050974747522e-06	1.07686363346569e-05	1.07339847175119e-07
28	28	7	"internal"	10	0.4440923324	26	3.9688917024	1.2311083	NA	"inNode28"	"P_fauriei2,P_hathewayi_1"	0	3.59251373102763e-07	0.982398358266499	1.31068417363411e-05	5.66685577529567e-08	0.00215611344473594	2.03578209628444e-07	7.22386646132716e-09	0.0148512489165462	0.000512810336738289	9.57785995025397e-08	4.74914284881645e-05	4.85634065573037e-06	1.11928304570757e-09	1.51167769942683e-05	1.74027716644076e-07
29	29	6	"internal"	13	0.0008897862802	25	3.3489776010802	1.8510224	NA	"inNode29"	"P_kaduana_PuuKukuiAS,P_mauiensis_PepeAS"	0	1.20567156587583e-06	7.85561450334582e-06	0.999562476742398	1.56592716200325e-07	1.08796840559167e-07	0.000134442178514601	3.46801898419969e-09	0.000272991060405392	9.59621445448665e-09	1.74520098735689e-05	2.61535787417263e-06	4.64370138931065e-10	3.0177821374485e-07	3.68627921907313e-07	1.20405687024804e-08
30	30	4	"internal"	17	1.35674612	23	4.0677469582	1.132253	NA	"inNode30"	"P_greenwelliae07,P_greenwelliae907"	0	0.990132263537556	1.59369339149282e-06	4.86470417087206e-07	6.65902130206667e-08	0.00684627311520907	0.00203229476937483	0.000941808805761491	4.5177863274074e-08	3.69221858313269e-08	1.1540462362815e-08	2.065913235943e-05	1.81840261508409e-05	6.1232697123777e-06	5.65305114294165e-10	1.52384037314724e-07
31	31	3	"internal"	20	0.732916959	22	1.7547475232	3.4452525	NA	"inNode31"	"P_hawaiiensis_Makaopuhi,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu,P_wawraeDL7428"	0	0.63504299029176	0.000401133482509732	0.000162303198200898	5.81899326219501e-05	0.104261968116099	0.0604149252545602	0.0537747397679763	8.95603044421511e-05	6.91898236656013e-05	2.4986370587148e-05	0.0416809509440663	0.0379975853703003	0.0165241821728534	7.38131993925588e-05	0.0494234817709642
32	32	4	"internal"	21	0.4601084855	31	2.2148560087	2.985144	NA	"inNode32"	"P_hawaiiensis_Makaopuhi,P_mariniana_Kokee2,P_mariniana_MauiNui,P_mariniana_Oahu"	0	0.221497179527863	0.00138943954370153	0.000717071216177888	0.000610629136632117	0.189235647588304	0.112613914162916	0.109196773613937	0.000831786214175671	0.000762696554175898	0.000218637678192867	0.111533726508449	0.106962132716729	0.033513608314896	0.00120921814581808	0.109707539078033
33	33	5	"internal"	22	0.2574151709	32	2.4722711796	2.7277288	NA	"inNode33"	"P_hawaiiensis_Makaopuhi,P_mariniana_MauiNui,P_mariniana_Oahu"	0	0.0793589268435904	0.0951640126032701	0.0545719776816697	0.0528824763019099	0.0663891369444921	0.0414334225638925	0.0410697536549277	0.142109426570126	0.137766508545621	0.0211765344560959	0.0322182581157549	0.0317061448059234	0.0145887556823768	0.174518962792963	0.0150457024373862
34	34	6	"internal"	23	0.7328279804	33	3.20509916	1.9949008	NA	"inNode34"	"P_hawaiiensis_Makaopuhi,P_mariniana_MauiNui"	0	0.0123643162813046	0.00933067269388788	0.0690281846922471	0.067280590518498	0.00196637545829623	0.0442237844257344	0.0440695572123512	0.0321831700438084	0.0319727413820119	0.537710265553855	0.00334948418698414	0.00333655794557746	0.0812654515535512	0.0579582931805446	0.00396055487134809
35	35	2	"internal"	29	2.432497733	21	2.7198097229	2.4801903	NA	"inNode35"	"P_grandiflora_Kal2,P_hobdyi_Kuia"	0	0.992311386523099	3.00953088812208e-06	1.61376954801593e-06	1.14199725698554e-06	0.00284206414727399	0.0024381769807671	0.00232306595436219	1.80519747685934e-07	1.6261696452424e-07	1.10065536994073e-07	2.78244996020709e-05	2.68957639672368e-05	2.35176564294029e-05	9.64873974420176e-09	8.4032581682879e-07
36	36	1	"internal"	32	2.372081244	20	2.372081244	2.8279188	NA	"inNode36"	"P_hexandra_K1,P_hexandra_M,P_hexandra_Oahu"	0	0.0804959135512565	0.00370468556274654	1.30839320882303e-05	1.21200620688143e-05	0.856223289604642	0.00351284020579745	0.00347731241025069	0.000237064545221482	0.000232606848806385	1.71866268156872e-06	0.0252972313973839	0.025210510638857	0.000198789232992137	1.90173352808806e-05	0.0013638160099268
37	37	2	"internal"	33	0.4630447802	36	2.8351260242	2.364874	NA	"inNode37"	"P_hexandra_K1,P_hexandra_M"	0	0.96884969729401	5.7447136412353e-05	3.63477858229211e-06	3.56029627721087e-06	0.0197082489072235	0.00540101048045895	0.00537999422813453	1.60682274477985e-06	1.58411254955083e-06	5.03727120698931e-07	0.000214377315937594	0.000213566981697121	0.000155049212300439	9.25945302951359e-08	9.62611202050828e-06
